Ignore,Key,Message,,,,,,,,
Y,メッセージ,,,,,,,,,
,msg1,저 꽃은<br>꼭 겨울에만 피어난다.,,,,,,,,
,msg2,"그마저도 눈 속에<br>남몰래 피어나기에,<br>사람들 눈에도 잘 띄지<br>않는다고 한다.",,,,,,,,
,msg3-1,"<i>꽃이 사람에게 이쁨 받아야<br>가치가 있는 거라면,</i>",,,,,,,,
,msg3-2,<i>저 꽃에 가치는 없는 걸까요...?</i>,,,,,,,,
,msg4,‘가치 같은 건 인간들이<br> 멋대로 정해놓았을 뿐이야.’<br> 영주님께서 말씀하셨다.,,,,,,,,
,msg5-1,‘사람에게 이쁨을 받든 안 받든<br> 꽃은 피어나지.,,,,,,,,
,msg5-2,"언제, 어디서 피어날지를 스스로<br>결정하기에 꽃은 꽃인 거야.’",,,,,,,,
,msg6,‘그러니 너도 스스로 결정하렴.<br> 무엇을 택해도 시즈는 시즈란다.’,,,,,,,,
,msg7,존재할 이유나 자격을<br>주변에서 찾을 필요가 없다니...,,,,,,,,
,msg8,그런 생각은 한 번도<br>해본 적이 없었다.,,,,,,,,
