Ignore,Key,Message
Y,メッセージ,
,msg1-1,藍眼睛的女孩——
,msg1-2,奧菈也是在戰亂中淪為孤兒的魔女，<br>她說自己正在旅行，<br>並沿途救助他人。
,msg2-1,救助？拿什麼救助？
,msg2-2,聽到我的疑問，奧菈遞給我一只<br>鑲著紅色寶石的手鐲。
,msg3,「鷺絲堤卡有什麼願望嗎？」
,msg4-1,……我想要一把劍。
,msg4-2,話剛說完，手鐲便發出金色的光芒，<br>變成了一把利劍。
,msg5,以自己長年佩戴的飾品為代價，<br>將願望化為現實。<br>這似乎就是奧菈的力量。
,msg6-1,難怪她手腳和脖子上<br>戴滿了丁鈴噹啷的玩意兒。
,msg6-2,我說她像個暴發戶，<br>結果立刻挨了她一拳。
,msg7,「憑我一個人的力量<br>　救不了所有人。<br>　但是，這並不是<br>　見死不救的理由。」
,msg8,「如果我幫助過的人，<br>　有一天也能向他人伸出援手……」
,msg9,這位大好人，<br>難道不懂得什麼是懷疑嗎？
,msg10-1,照我看，她只會引來一群<br>利慾薰心的傢伙。
,msg10-2,受不了，這種楞頭青<br>我不能放著不管……
,msg11,凡是見識過奧菈力量的人，<br>必定會被貪欲吞噬——<br>我在心裡這麼認定。
